Iterations, Results, Times
-1820.000000, -43683281665837312929466221207016727836000847513539326061420301469237770406231206950336142954866049827089264382839689927025610751601084187655086969942704979390851714778387917219008631996940288.000000, 0.001001
-1810.000000, -3938919050600990069975362857573635728524314267252183018849957577875414425934531922531789445432652178332553366453627000373932918933396513787986494304626522598257938185033882501111761313202176.000000, 0.000000
-1800.000000, -355172109226423767384839348886206215499777201472048082424537270485171162361220406318422247564012472487784249929585355297212912438628241771108255585696095599064402905320801164723276518260736.000000, 0.001001
-1790.000000, -32025849110328752407330756377634388278025560883249129745722153144451596992635499477757275494448566125127147849710586903426595116555523981478200015345075992322583777451653647459105686683648.000000, 0.000000
-1780.000000, -2887769012807493319536980618014409876090963588799745408423166962725469603001944220291681056053510446506727696470510586060126176206338710701229580052126968355299274269536510608726974005248.000000, 0.000000
-1770.000000, -260389969446326405682859355205503545876384420856499417768602531107329618778169887953669963192195097266377812696562842404906182469681070133474144441451138442646818681598692699426737094656.000000, 0.001001
-1760.000000, -23479348897902570204383424316728101092586804269816103282526368895371239850396634133875119136051618030940643306252986454561666701794726850449559321880205411515265663065991597678821113856.000000, 0.000000
-1750.000000, -2117131569398154663180327342664540216674091947534793068494338100723390039967351362679566151464591910493565452110558825487458297985702339738530444095837474136964052181700370487553556480.000000, 0.001001
-1740.000000, -190901634522867730036565790686486133685986288099351117550768407276315543191300317642340722394590738596821715018474517490758226838299582147416739974495498333212885494570008675295952896.000000, 0.000000
-1730.000000, -17213589646609673318715630500843990910567378901850502082500293126150229060576484533609012071005282947466017526720425038485112665190426251200631455657225829215843739242439590688063488.000000, 0.001000
-1720.000000, -1552148410161326294826490544542091268539979301262848732807092373360602902063211585354599178094773698714119766780384700333395014440131347908952626761711940765436090026729850322026496.000000, 0.000000
-1710.000000, -139957134835082664764868542134601307242730577635255080085260719702540997484209523636155813384176129559540929956020532602569931676828713564040326275382098322976388229095852175523840.000000, 0.001002
-1700.000000, -12619926975416986012067616696033995118373753423828338964982151274185236217511283446355295406026569814402086147271527425062494501832214803075650576904298963902631651367607475372032.000000, 0.000000
-1690.000000, -1137938105495822231255794112784467189050096121928838566214750328036705572189863815717628455074157856350531219146416646819220663491066828774782773830249471254252208744301030539264.000000, 0.001001
-1680.000000, -102607814962941580726726318984765609086158774760661208362325623329390750941670788757321916998030152522259889258215738799089969268502064633246716158912272331070234701925235818496.000000, 0.000000
-1670.000000, -9252140903464903013003437728872448304814154766011837342333323860737595200895088138055236389024456280431549623343966551618095888993506164178679631748143357123969268988893986816.000000, 0.000000
-1660.000000, -834265024827640114788649745065307832895002933975177207513454305360918310648575644843333182111348728167954361769550915992527695642323282892517265990986934626029962314219782144.000000, 0.001001
-1650.000000, -75225630360862038649792258639670172208956053703403185001609107786320978328221330571385088501174459731556551659997784746736315370146089920113201835386116365748871759308783616.000000, 0.000000
-1640.000000, -6783090858157671620841042186085436768996745649084977163486456835210849377674428196046352179582534299113236773257076963025409168079041423826827302483464594785548697646137344.000000, 0.000000
-1630.000000, -611630921127650176966013955485706970438651649587822084248523210566753043071671116230541082236327554820980842158573624335285328325303817037915133094570465679020932909236224.000000, 0.001001
-1620.000000, -55150725753519339019690427177732604820952548472781049768556004166731460797009824466299523144256776035590055340181403086474101838548165065913768144525223655477210492436480.000000, 0.000000
-1610.000000, -4972937838937518978398884350695408895181419355788089028538086629796793460983216873117737415221332689447442428252649987364454716981146473431185943259158309200377837256704.000000, 0.001001
-1600.000000, -448409525206628057584210813875770325093459290965440165053596298027194193422639501402500392880815570110686586394659620069248218035186139976726369839498122436283742552064.000000, 0.000000
-1590.000000, -40433061664610102741660413747436938177329589925909948917015944310862911570621118576332159586444356867903145794486537437109693154653679005118890629159876454945627570176.000000, 0.000000
-1580.000000, -3645846895916916378252961004485193848318574987283588235254005212358501639698829738395074564151021832715421055381177876799034403480431264310332076376279876898058665984.000000, 0.001002
-1570.000000, -328745809524023654959135914021356943903134337346450150307558332800027583138971610530241326066955029106513229730882357455007945724583397604650093139442404690405359616.000000, 0.000000
-1560.000000, -29642991152656582876291937268001217032809379922530608951119306941296910581563034579144527998835872952537069079491588654782516455022766811338120078087556969665658880.000000, 0.001000
-1550.000000, -2672906844801206957797489992666045409386625567812322485574790684177601534317964443321504307130483467279981372920402182736171017188619193752751568129330776415141888.000000, 0.000000
-1540.000000, -241015859843309487242086067194886762206506308106697804383537221634213770095641004982693350724299893725825865367071573790181836325831558669412313387510017839595520.000000, 0.000000
-1530.000000, -21732386524802385855641832034819291166444552703337846451207544983211804843240133986599209419122468115081845565160832175939501348821691498753774675117179351859200.000000, 0.001001
-1520.000000, -1959608070483263121391491865824063355998222025562480786142154141196397404519768695018349442429275241915234063000232393722373777936001003532633876594899460030464.000000, 0.000000
-1510.000000, -176697749486491569112742609441972865801567137668781330965695409191607625697005835543798971459278268394053732525337894365685590297658942636176652562164749434880.000000, 0.000000
-1500.000000, -15932826131855635556213080533235736245246201934102331655966986565407698046439843609306193230089398074147276023853577352964215341352151855833080962519723409408.000000, 0.001001
-1490.000000, -1436662036079576089034618158904039942239513443725076214048948411959891241857888101335790496309037454223428279860182179473916903254862739927815881132188106752.000000, 0.000000
